chn1080p_i,migrant1127,lnmig1127,mig1127_d,altermig,chgnorther,chgsouther,gdppc2000,lngdppc2000,lnavglight2000,lnlightpc2000,lnpopden2000,provgb,south,coast,dist_ports,x_coord,y_coord,dsongrivers,area,lnarea,lnwheat,lnrice,lnmaize,lnspotato,dist_HZ,shock,change,n_change,migperiod,premig,postmig,difmigperiod,migperiod_1,migperiod_2,difmigperiod_1,difmigperiod_2,songhh0741,lnsongp_ssden,lnsongp_ming1den,lnsongp_ming2den,lnsongp_ming3den,lnsongp_qing1den,lnsongp_qing2den,lnsongp_qing3den,hh1080,lnhh1080,lnhhden1080,songp1080,lnsongp0741,lnsongp1102,lnsongp1290,lnsongp1391,nsden,ssden,ming1den,ming2den,ming3den,qing1den,qing2den,qing3den,lnnsden,lnmingjinshiden,lnqingjinshiden,d_s_ming,d_n_ming,d_s_qing,d_n_qing,lntotacademy1,lnacademy3den,lnacademy4den,highratio2000,s_highratio2005,n_highratio2005,surdiv05_old,elf_mainlang,lnquota0,lnquota0sh,fuke,benchratio,n_non_ratio_40,sort_n_non_ratio_40,unsort_n_non_ratio_40,n_non_ratio_20,pref_surcorr,lnsongp1776,conflictden_ming,conflictden_qing
1,4,1.6094379,1,1.4436355,.37680036,-1.0668352,13.199046,2.5801446,2.5564883,-4.3623691,7.2207613,50,1,0,1264.5469,104.05614,30.60257,1,2653,7.8834462,1.178655,1.0229005,1.1293839,1.0340737,1.5460038,0,1,0,0,2,0,-.2962963,0,0,-.2962963,-.2962963,142537.4450073242,-8.9064751,-10.937586,-9.8357325,-9.3613377,-9.0593414,-8.801405,-7.9895616,169098,12.038234,4.1547875,.84548998,-.3387126,-.093816318,-4.1503806,-3.7624202,396.74011,698.18347,233.23224,429.73117,170.96399,16.205217,72.621002,57.821396,5.9863071,6.670785,5.3838663,1,1,1,1,.69314718,3.7440455,3.690547,22.398787,16.101694,26.436781,.96828842,0,3.6583924,4.5952959,,7.0579414,5.8577409,5,6.7226896,5.9259257,.25845715,-.93690342,0,5.0083451
2,2,1.0986123,1,-.37481099,-.35809776,.016713222,4.8443737,1.5778179,1.1019912,-4.9401584,6.3353353,50,1,0,1251.6515,103.71743,30.048897,1,2718,7.9076514,1.2729658,1.1808504,1.2729658,1.1541822,1.5825837,0,0,0,0,0,0,0,0,0,0,0,25248.041015625,-9.6967545,-10.927697,-10.102227,-9.6895332,-9.415246,-9.1780643,-8.3899565,76129,11.240185,3.3325329,.38064501,-2.0695689,-1.0104778,-4.1306067,-3.4115751,925.56268,3392.9739,307.3833,197.47617,5.9410238,13.547558,10.68697,9.7188244,6.833446,5.8581371,3.8353622,1,1,0,0,1.0986123,2.8877227,2.6567073,10.517026,11.904762,5.2631578,.95935905,0,3.3242745,4.6099629,,2.0649927,.59880245,0,1.3333334,2.6548672,.3509568,-1.2856883,8.9761896,7.1246467
3,0,0,0,0,.23039709,.23039709,10.44157,2.3457949,1.6782646,-4.4596987,6.4430866,50,1,0,1304.4447,103.60255,30.693632,1,1833,7.5137091,1.2083112,1.0691984,1.1411719,1.0986123,1.5888903,0,1,0,0,0,0,0,0,0,0,0,54644.34680175781,-9.2864208,-10.994684,-9.9304686,-9.4633093,-9.1644363,-8.9082994,-8.0863371,78927,11.276278,3.7625694,.39463499,-1.2974716,-1.0812391,-4.5196366,-4.1338158,5.2342362,35.320751,162.45689,78.466324,21.077625,5.2107649,8.0666399,10.637523,2.0606861,5.1893482,3.697175,1,0,1,0,0,2.4167595,2.4932022,10.316092,6.9767442,12.5,.95812702,0,3.2027493,4.6163716,,2.8953023,6.25,6.8965516,5.2631578,1.5625,.49231812,-1.4136225,0,0
4,4,1.6094379,1,.56226188,.46738264,-.094879247,8.6817455,2.1612227,1.341705,-4.6052852,6.2552743,50,1,0,1320.7209,103.79557,31.117613,1,2426,7.7939992,1.3217559,1.0745146,1.4127276,1.3499267,1.5691432,0,1,0,0,0,0,0,0,0,0,0,65759.92846679688,-9.6364994,-10.978277,-9.9026203,-9.4332275,-9.1333866,-8.8768291,-8.0718994,72417,11.190196,3.3961973,.36208501,-1.1123067,-1.2461151,-4.242908,-3.8534317,2.7882454,12.624599,0,74.131927,15.453578,0,11.812099,11.883191,1.7185597,4.6735711,3.7218874,0,0,0,0,0,2.1086216,3.6477792,12.827957,17.142857,19.047619,.96069336,.00016962762,3.4982941,4.5999918,,7.9861107,9.2024546,4.7619047,13.92405,3.7974682,.3879042,-1.1016973,0,2.9530246
5,7,2.0794415,1,-2.3124382,-2.7745407,-.46210235,4.4757295,1.4986694,.2432355,-5.0819607,5.6164227,50,1,0,1225.1304,103.48643,29.34866,1,11548,9.3542671,1.3479882,1.0494953,1.346289,1.3614792,1.61341,0,0,0,0,1,0,-.14814815,0,0,-.14814815,-.14814815,45671.208984375,-11.049789,-11.576569,-10.657213,-10.221175,-9.9361115,-9.6916428,-8.7624311,70546,11.164021,1.8097527,.35273001,-1.4768492,-1.0264963,-2.7518969,-2.701509,32.363503,321.51974,55.371273,99.363228,28.554483,12.525343,14.012654,7.7463431,3.5640428,5.1315866,3.8031116,1,1,1,0,1.0986123,3.6055303,1.4359879,12.614639,13.496933,2.5974026,.96921194,.0016062952,4.2716556,4.6248574,,4.0950427,3.1518624,2.3529413,3.9106145,4.2105265,.72795624,-.35320204,0,2.8025308
6,0,0,0,-2.9982228,-2.4585562,.53966671,8.7667913,2.1709709,.93653518,-4.8358464,6.0783396,50,1,0,1303.0269,103.39124,30.441927,1,3104,8.0404472,1.307157,1.0766333,1.2589549,1.1819938,1.6105734,0,0,0,0,0,0,0,0,0,0,0,42159.09765625,-9.7730293,-11.09053,-10.289859,-9.8838043,-9.6126499,-9.3724127,-8.4434071,80130,11.291406,3.2509587,.40064999,-1.5568669,-.92534411,-3.9892502,-3.4209402,20.994703,113.10474,105.5855,28.44648,37.9063,4.8172507,7.5769663,7.4812341,3.1620531,4.9574623,3.5291903,0,0,1,0,.69314718,2.9425592,2.71826,9.0231619,1.8181819,4.347826,.9592247,0,3.3817184,4.7339969,,5.4075789,5.7324843,6.666667,4.477612,4.166667,.25779438,-1.3522782,0,3.7884831
7,0,0,0,0,-1.8184465,-1.8184465,3.3952973,1.2223912,-1.1513319,-5.3133163,4.4469409,50,1,0,1283.1953,102.40935,28.781235,0,15523,9.6500778,1.5385635,.28636524,1.3582739,1.6313024,1.7265129,0,0,0,0,0,0,0,0,0,0,0,1887.014358520508,,-12.063255,-11.737788,-11.512603,-11.340172,-11.176753,-10.502691,2712,7.9054418,-1.7446364,.01356,-4.6633215,-4.2969503,,-2.5153658,0,,0,0,0,0,0,2.345768,4.3325419,2.0877097,2.2198224,0,0,0,0,0,2.0877097,3.3184347,6.8793674,2.7777777,4.5454545,.97759533,.48914081,2.6782351,4.2164316,,3.906086,5.147059,6.1728396,3.6363635,2.3622048,.021713963,-1.5381967,0,23.014238
8,0,0,0,0,.33168241,.33168241,5.5657482,1.7166314,-1.429669,-4.9159737,3.7857745,50,1,0,1377.6533,102.27785,30.248838,0,29074,10.277599,1.1278116,.46303511,1.3023087,1.4953978,1.7186692,0,0,0,0,0,0,0,0,0,0,0,10887.185546875,-13.126364,-11.964269,-12.09319,-12.226826,-12.370054,-12.529511,-11.757971,22987,10.042685,-.23491547,.114935,-2.9107308,-1.9854413,-4.0406966,-1.6565819,18.401163,69.065727,0,12.289405,21.069746,0,28.517672,4.394578,3.317879,3.6073499,3.8613496,1,0,1,0,0,1.8155903,4.4491363,13.466146,13.636364,12.962963,.95726502,.48837245,2.5665991,4.8328056,,6.7798042,5.185185,4.166667,6.3492069,7.865169,.38535747,-2.2662063,159.76227,199.6237
9,0,0,0,0,0,0,6.6838598,1.8996956,-1.3766006,-4.3447223,3.2801747,50,1,0,1372.2344,103.45223,31.485754,1,7965,8.9828119,.9864949,0,1.3710269,1.6711315,1.6016867,0,1,0,0,0,0,0,0,0,0,0,1117.38720703125,-12.893441,-11.648195,-11.673039,-11.696174,-11.718259,-11.730873,-11.151939,557,6.3225651,-2.6602471,.002785,-5.187324,-5.8639512,-3.4350407,-2.6592062,0,0,0,14.735024,0,0,15.612324,0,5.7846828,3.3833745,3.4412079,0,0,0,0,0,2.6902273,3.4412079,13.582548,5.5555553,5.8823528,.93462586,.046687953,2.3760026,5.1348491,,7.5943751,12.820514,15.000001,10.526316,3.846154,0,-2.7588465,44.205074,0
10,0,0,0,0,-.53815717,-.53815717,2.9236319,1.0728266,.27046561,-5.9221401,6.4984932,50,1,0,1212.0413,104.5605,30.384098,0,1769,7.4781699,1.3862944,1.0986123,1.3862944,1.0986123,1.4990478,0,1,0,0,0,0,0,0,0,0,0,27804.37451171875,-9.8914814,-10.986848,-9.9255238,-9.4589329,-9.1603069,-8.903842,-8.013979,40214,10.601971,3.1238008,.20107,-1.973124,-1.563318,-4.5454011,-4.1574688,25.685303,89.367188,33.404091,23.11544,0,5.3770351,12.481968,5.1264911,3.4282405,3.833648,3.5051143,0,0,0,0,0,2.4473536,2.5242851,8.3370962,11.904762,12.5,.95981121,0,3.1349349,4.5801177,,3.817169,6.060606,2.5641026,11.111112,7.6923079,.27443624,-1.4451827,0,0
