country,year,Fd1y,B1_R_B,B2_R_B,B3_R_B,B4_R_B,B6_R_B,B7_R_B,B8_R_B,L0g0y
32,1905,0.011147751,0,0,0,0,0,0,0,0.086410552
32,1906,-0.016913116,0,0,0,0,0,0,0,0.011147751
32,1907,0.055663608,0,0,0,1,0,0,0,-0.016913116
32,1908,0.011419374,0,0,0,0,1,0,0,0.055663608
32,1909,0.032711335,0,0,0,0,1,0,0,0.011419374
32,1910,-0.020085242,0,0,0,0,1,0,0,0.032711335
32,1923,0.039487086,0,0,0,1,0,0,0,0.069579422
32,1924,-0.034114167,0,0,0,1,0,0,0,0.039487086
32,1925,0.018956715,0,0,0,0,0,0,0,-0.034114167
32,1926,0.039759837,0,0,0,0,0,0,0,0.018956715
32,1927,0.031966731,0,0,0,0,1,0,0,0.039759837
32,1928,0.017556468,0,0,0,0,1,0,0,0.031966731
32,1929,-0.067979284,0,0,1,0,0,0,0,0.017556468
32,1930,-0.094526172,0,0,1,0,0,0,0,-0.067979284
32,1931,-0.052541804,1,0,0,0,0,0,0,-0.094526172
32,1932,0.027721221,1,0,0,0,0,0,0,-0.052541804
32,1933,0.060023371,1,0,0,0,0,0,0,0.027721221
32,1934,0.026941976,0,0,0,1,0,0,0,0.060023371
32,1935,-0.009666827,0,0,0,1,0,0,0,0.026941976
32,1995,0.055266902,0,0,0,1,0,0,0,-0.028452097
32,1996,0.08111047,0,0,0,0,0,1,0,0.055266902
32,1997,0.038501788,0,0,0,0,1,0,0,0.08111047
32,1998,-0.03385457,0,0,1,0,0,0,0,0.038501788
32,1999,-0.00788999,0,0,0,0,1,0,0,-0.03385457
32,2000,-0.044088397,0,1,0,0,0,0,0,-0.00788999
32,2001,-0.10894485,1,0,0,0,0,0,0,-0.044088397
32,2002,0.088370413,0,0,0,1,0,0,0,-0.10894485
32,2003,0.090295732,0,0,0,0,0,0,1,0.088370413
32,2004,0.0885166,0,0,0,0,0,0,0,0.090295732
32,2005,0.080471516,0,0,0,0,0,0,0,0.0885166
32,2006,0.090076514,0,0,0,0,1,0,0,0.080471516
32,2007,0.040572334,0,0,0,1,0,0,0,0.090076514
32,2008,-0.059185252,1,0,0,0,0,0,0,0.040572334
32,2009,0.10125399,0,0,0,0,0,0,1,-0.059185252
32,2010,0.060039517,0,0,0,0,0,0,1,0.10125399
32,2011,-0.010264205,0,1,0,0,0,0,0,0.060039517
32,2012,0.024053238,0,0,0,1,0,0,0,-0.010264205
32,2013,-0.025126152,0,0,0,0,0,0,1,0.024053238
36,1874,0.10428651,0,0,0,0,1,0,0,0.032436848
36,1875,-0.003228934,0,0,0,0,0,0,0,0.10428651
36,1876,0.040811647,0,0,0,0,0,0,0,-0.003228934
36,1877,0.091101363,0,0,0,0,0,0,0,0.040811647
36,1878,0.013961046,0,0,0,0,0,0,0,0.091101363
36,1879,0.051321246,0,0,0,0,0,0,0,0.013961046
36,1880,0.071022928,0,0,0,0,0,1,0,0.051321246
36,1881,-0.057938434,0,0,0,0,0,0,0,0.071022928
36,1882,0.13804212,0,0,0,1,0,0,0,-0.057938434
36,1883,0.004464587,0,0,0,1,0,0,0,0.13804212
36,1884,0.063316092,0,0,0,0,0,0,0,0.004464587
36,1885,0.012549982,0,0,0,0,0,0,0,0.063316092
36,1886,0.10121441,0,0,0,0,0,0,0,0.012549982
